rosca_id,outcome_amtinvest_healthproducts,outcome_illness_untreated_3mo,treat_safe_box,treat_locked_box,treat_health_pot,treat_health_savings,any_treatment,covariate_rosbg_monthly_contrib,covariate_female,covariate_b1_age,covariate_provider,covariate_hyperbolic,covariate_pat_now_impat_later,covariate_max_discount,covariate_n_roscas,control_group,maxn
1141,2540,0,0,0,1,0,1,500,0,32,1,0,0,0,3,0,6
1141,575,0,0,0,1,0,1,500,0,30,1,0,0,1,1,0,6
1141,1240,1,0,0,1,0,1,500,1,39,0,0,1,0,1,0,6
1141,700,0,0,0,1,0,1,500,0,37,1,0,0,0,3,0,6
1141,3690,0,0,0,1,0,1,500,0,27,0,1,0,0,1,0,6
1143,780,1,0,0,1,0,1,200,1,24,0,0,0,1,1,0,4
1143,500,0,0,0,1,0,1,200,0,40,0,0,0,1,1,0,4
1143,730,0,0,0,1,0,1,200,1,37,0,1,0,0,1,0,4
1143,770,0,0,0,1,0,1,200,1,37,0,1,0,0,1,0,4
1145,650,0,0,1,0,0,1,200,0,35,0,0,0,1,1,0,5
1145,0,0,0,1,0,0,1,200,1,21,0,0,0,0,1,0,5
1145,140,1,0,1,0,0,1,200,1,20,0,1,0,0,1,0,5
1145,90,0,0,1,0,0,1,200,1,30,0,0,1,0,1,0,5
1145,0,1,0,1,0,0,1,200,1,52,0,0,0,1,1,0,5
1148,50,0,1,0,0,0,1,200,1,56,0,0,0,1,1,0,4
1148,500,0,1,0,0,0,1,200,1,53,0,0,0,0,1,0,4
1148,120,0,1,0,0,0,1,200,1,38,0,1,0,0,2,0,4
1148,130,0,1,0,0,0,1,200,1,28,0,0,0,1,1,0,4
1149,0,0,1,0,0,0,1,200,0,30,1,0,0,1,2,0,7
1149,0,0,1,0,0,0,1,200,0,32,0,0,0,0,1,0,7
1149,340,0,1,0,0,0,1,200,0,22,1,0,0,0,3,0,7
1149,120,0,1,0,0,0,1,200,0,34,1,0,0,1,1,0,7
1149,0,0,1,0,0,0,1,200,0,27,0,1,0,0,1,0,7
1150,210,0,0,0,0,1,1,100,0,22,0,0,0,0,1,0,8
1150,600,0,0,0,0,1,1,100,0,46,0,1,0,0,1,0,8
1150,1440,0,0,0,0,1,1,100,0,32,0,0,0,1,1,0,8
1150,170,0,0,0,0,1,1,100,0,35,0,0,0,1,2,0,8
1150,870,0,0,0,0,1,1,100,0,31,1,0,0,0,1,0,8
1150,600,0,0,0,0,1,1,100,0,26,0,0,0,1,1,0,8
1150,2070,0,0,0,0,1,1,100,0,45,0,0,0,1,1,0,8
1150,600,0,0,0,0,1,1,100,0,26,0,1,0,0,1,0,8
1151,960,0,0,0,1,0,1,1100,1,45,0,0,0,0,1,0,7
1151,80,0,0,0,1,0,1,1100,1,57,0,0,0,1,1,0,7
1151,818,0,0,0,1,0,1,1100,1,26,0,0,1,0,1,0,7
1151,1680,0,0,0,1,0,1,1100,0,43,1,0,0,1,2,0,7
1151,2180,0,0,0,1,0,1,1100,1,42,0,0,1,0,1,0,7
1151,800,1,0,0,1,0,1,1100,1,44,1,1,0,0,1,0,7
1151,150,0,0,0,1,0,1,1100,1,24,1,0,1,0,1,0,7
1152,35,0,0,1,0,0,1,800,1,27,0,0,1,0,3,0,7
1152,1060,0,0,1,0,0,1,800,0,44,1,1,0,0,1,0,7
1152,450,0,0,1,0,0,1,800,0,32,0,0,0,0,1,0,7
1152,20,0,0,1,0,0,1,800,1,24,0,1,0,0,1,0,7
1152,132,0,0,1,0,0,1,800,0,36,0,0,0,1,1,0,7
1152,40,0,0,1,0,0,1,800,0,49,0,0,0,1,1,0,7
1155,770,0,0,0,1,0,1,400,1,39,0,0,0,0,2,0,6
1155,580,0,0,0,1,0,1,400,1,27,0,0,0,0,3,0,6
1155,90,0,0,0,1,0,1,400,1,47,0,0,0,0,3,0,6
1155,820,0,0,0,1,0,1,400,1,41,0,1,0,0,3,0,6
1155,2253,0,0,0,1,0,1,400,0,28,0,0,0,1,2,0,6
1155,350,0,0,0,1,0,1,400,1,40,1,0,0,0,3,0,6
1157,2160,0,0,0,0,1,1,160,0,45,0,0,1,0,3,0,3
1157,180,0,0,0,0,1,1,160,0,40,1,1,0,0,2,0,3
1160,280,0,0,0,0,1,1,100,1,35,0,1,0,0,2,0,4
1160,420,0,0,0,0,1,1,100,1,38,0,0,1,0,1,0,4
1160,0,0,0,0,0,1,1,100,1,40,0,1,0,0,3,0,4
1163,560,0,1,0,0,0,1,400,1,28,0,0,0,1,2,0,1
1164,480,1,0,0,0,1,1,1000,1,20,0,0,0,1,1,0,5
1164,260,1,0,0,0,1,1,1000,1,53,0,0,0,1,1,0,5
1164,50,0,0,0,0,1,1,1000,1,30,0,0,0,1,1,0,5
1170,0,0,0,0,0,1,1,560,0,27,0,0,0,1,1,0,12
1170,0,0,0,0,0,1,1,560,0,26,0,0,0,0,1,0,12
1170,280,0,0,0,0,1,1,560,0,34,0,0,1,0,2,0,12
1170,0,0,0,0,0,1,1,560,1,52,0,0,0,0,1,0,12
1170,40,0,0,0,0,1,1,560,1,42,0,0,0,0,3,0,12
1170,435,0,0,0,0,1,1,560,0,22,1,0,1,0,1,0,12
1170,0,1,0,0,0,1,1,560,1,48,0,0,0,1,1,0,12
1170,40,0,0,0,0,1,1,560,1,40,0,0,0,1,2,0,12
1170,60,1,0,0,0,1,1,560,1,50,0,0,0,1,1,0,12
1170,0,1,0,0,0,1,1,560,0,26,0,0,0,1,2,0,12
1170,0,0,0,0,0,1,1,560,1,25,0,0,0,0,3,0,12
1170,420,0,0,0,0,1,1,560,1,42,0,0,0,1,2,0,12
1171,0,0,0,1,0,0,1,400,1,30,0,0,1,0,1,0,7
1171,50,0,0,1,0,0,1,400,1,42,0,0,0,0,2,0,7
1171,0,0,0,1,0,0,1,400,1,30,0,0,0,1,1,0,7
1171,50,0,0,1,0,0,1,400,1,40,0,0,0,0,1,0,7
1171,80,0,0,1,0,0,1,400,1,35,0,0,0,0,1,0,7
1171,60,0,0,1,0,0,1,400,1,28,0,0,0,0,1,0,7
1171,100,0,0,1,0,0,1,400,1,35,1,0,0,1,1,0,7
1172,40,0,0,0,0,0,0,1000,1,50,0,0,0,1,1,1,9
1172,480,0,0,0,0,0,0,1000,0,76,0,0,0,1,1,1,9
1172,336,0,0,0,0,0,0,1000,0,35,0,0,0,1,1,1,9
1172,700,0,0,0,0,0,0,1000,0,48,1,0,1,0,1,1,9
1172,350,1,0,0,0,0,0,1000,1,52,0,0,0,1,1,1,9
1172,230,0,0,0,0,0,0,1000,1,31,0,0,0,1,1,1,9
1172,600,0,0,0,0,0,0,1000,1,22,0,0,0,1,1,1,9
1174,245,0,0,1,0,0,1,800,1,45,0,0,0,1,2,0,10
1174,40,0,0,1,0,0,1,800,1,53,0,0,0,1,1,0,10
1174,575,0,0,1,0,0,1,800,1,25,1,0,0,0,1,0,10
1174,0,0,0,1,0,0,1,800,1,45,0,0,0,1,1,0,10
1174,20,0,0,1,0,0,1,800,1,30,0,0,1,0,1,0,10
1174,20,0,0,1,0,0,1,800,0,26,0,1,0,0,1,0,10
1174,0,0,0,1,0,0,1,800,0,51,0,0,1,0,2,0,10
1174,283,0,0,1,0,0,1,800,0,26,0,1,0,0,1,0,10
1174,0,1,0,1,0,0,1,800,1,45,0,0,1,0,1,0,10
1174,540,0,0,1,0,0,1,800,1,30,0,0,0,1,1,0,10
1175,20,1,0,0,0,1,1,500,0,35,0,0,0,0,2,0,7
1175,0,0,0,0,0,1,1,500,1,32,0,0,1,0,1,0,7
1175,1780,0,0,0,0,1,1,500,1,45,0,0,0,1,1,0,7
1175,549,0,0,0,0,1,1,500,1,26,0,0,0,1,2,0,7
1175,180,0,0,0,0,1,1,500,0,70,1,0,0,1,1,0,7
1175,1200,0,0,0,0,1,1,500,1,30,0,0,0,0,2,0,7
1175,500,0,0,0,0,1,1,500,0,58,0,0,0,0,1,0,7
1179,1450,0,0,1,0,0,1,100,1,42,1,0,1,0,1,0,4
1179,1428,1,0,1,0,0,1,100,1,50,0,0,1,0,2,0,4
1179,1700,0,0,1,0,0,1,100,1,53,0,0,0,0,1,0,4
1180,50,1,0,0,0,1,1,1000,0,51,0,0,0,1,1,0,4
1180,0,1,0,0,0,1,1,1000,0,41,0,0,1,0,1,0,4
1180,140,0,0,0,0,1,1,1000,1,49,0,0,0,1,1,0,4
1180,40,0,0,0,0,1,1,1000,1,38,0,0,0,0,5,0,4
1181,2700,0,0,0,1,0,1,400,1,22,1,0,1,0,2,0,1
1182,60,0,0,0,0,0,0,200,0,30,1,0,1,0,1,1,3
1182,1190,0,0,0,0,0,0,200,0,24,0,0,1,0,2,1,3
1184,3600,1,0,0,1,0,1,200,0,37,1,0,1,0,1,0,7
1184,2360,0,0,0,1,0,1,200,0,48,1,0,1,0,1,0,7
1184,0,0,0,0,1,0,1,200,0,32,1,0,0,0,2,0,7
1184,200,1,0,0,1,0,1,200,1,34,0,0,0,0,1,0,7
1184,160,1,0,0,1,0,1,200,1,44,0,0,0,1,2,0,7
1185,360,1,0,0,1,0,1,100,1,36,0,0,0,0,2,0,7
1185,390,1,0,0,1,0,1,100,0,93,0,0,0,1,1,0,7
1185,80,1,0,0,1,0,1,100,1,40,0,0,0,1,1,0,7
1185,20,0,0,0,1,0,1,100,1,35,0,1,0,0,1,0,7
1185,100,1,0,0,1,0,1,100,1,30,0,1,0,0,1,0,7
1185,140,0,0,0,1,0,1,100,0,35,0,0,0,1,1,0,7
1188,33,1,0,1,0,0,1,200,1,26,1,1,0,0,1,0,7
1188,683,0,0,1,0,0,1,200,1,20,0,1,0,0,1,0,7
1188,335,1,0,1,0,0,1,200,1,20,0,1,0,0,1,0,7
1188,70,0,0,1,0,0,1,200,1,29,1,1,0,0,1,0,7
1188,300,0,0,1,0,0,1,200,1,19,0,1,0,0,1,0,7
1188,70,1,0,1,0,0,1,200,1,25,0,0,0,1,1,0,7
1188,35,0,0,1,0,0,1,200,1,23,0,0,0,1,1,0,7
1189,0,0,0,0,0,0,0,200,0,65,0,0,0,1,4,1,3
1189,1030,1,0,0,0,0,0,200,0,26,1,0,0,1,1,1,3
1189,65,0,0,0,0,0,0,200,0,47,0,1,0,0,1,1,3
1190,114,1,0,0,1,0,1,400,1,59,0,0,0,1,1,0,6
1190,500,0,0,0,1,0,1,400,1,37,0,0,1,0,3,0,6
1190,0,0,0,0,1,0,1,400,1,35,0,0,0,1,1,0,6
1190,820,1,0,0,1,0,1,400,1,35,0,0,1,0,1,0,6
1190,75,1,0,0,1,0,1,400,0,49,0,0,0,1,1,0,6
1193,468,1,0,0,1,0,1,500,1,53,0,0,0,1,1,0,6
1193,360,1,0,0,1,0,1,500,1,35,0,0,0,1,1,0,6
1193,0,0,0,0,1,0,1,500,1,38,0,0,0,1,1,0,6
1193,700,1,0,0,1,0,1,500,1,28,0,0,0,1,1,0,6
1193,600,0,0,0,1,0,1,500,1,40,0,0,0,0,1,0,6
1193,120,0,0,0,1,0,1,500,1,32,0,0,0,1,1,0,6
1196,480,0,1,0,0,0,1,100,1,37,0,0,0,0,1,0,7
1196,0,0,1,0,0,0,1,100,0,24,0,0,0,0,2,0,7
1196,70,1,1,0,0,0,1,100,0,48,0,1,0,0,4,0,7
1196,80,0,1,0,0,0,1,100,1,38,1,0,1,0,1,0,7
1196,1130,0,1,0,0,0,1,100,1,22,0,0,1,0,1,0,7
1196,1000,1,1,0,0,0,1,100,1,31,1,0,1,0,3,0,7
1197,113,0,1,0,0,0,1,500,1,30,1,0,1,0,1,0,4
1197,0,0,1,0,0,0,1,500,0,30,0,0,0,1,1,0,4
1197,80,0,1,0,0,0,1,500,1,26,0,0,0,1,1,0,4
1197,73,0,1,0,0,0,1,500,1,38,0,0,0,1,1,0,4
1199,68,0,0,0,0,1,1,200,1,32,0,0,0,0,3,0,4
1199,440,0,0,0,0,1,1,200,0,81,0,0,0,1,1,0,4
1199,300,0,0,0,0,1,1,200,1,40,0,0,1,0,3,0,4
1307,360,1,0,1,0,0,1,120,1,55,0,0,1,0,1,0,5
1307,1850,0,0,1,0,0,1,120,0,32,0,0,1,0,5,0,5
1307,80,0,0,1,0,0,1,120,0,56,0,1,0,0,1,0,5
1307,105,0,0,1,0,0,1,120,1,48,0,1,0,0,2,0,5
1307,0,0,0,1,0,0,1,120,1,50,0,0,0,0,3,0,5
1310,53,0,0,1,0,0,1,400,0,28,0,0,1,0,3,0,4
1310,1575,0,0,1,0,0,1,400,0,21,0,0,0,1,1,0,4
1310,80,0,0,1,0,0,1,400,0,38,0,0,0,0,1,0,4
1310,50,0,0,1,0,0,1,400,1,20,0,0,0,1,1,0,4
1316,70,0,1,0,0,0,1,400,1,46,0,1,0,0,3,0,4
1316,985,0,1,0,0,0,1,400,1,55,0,0,1,0,1,0,4
